#	CVE ID	CWE ID	# of Exploits	Vulnerability Type(s)	Publish Date	Update Date	Score	Gained Access Level	Access	Complexity	Authentication	Conf.	Integ.	Avail.
1	CVE-2013-5550	20		DoS	2013-10-22	2013-10-22	4.6	None	Local	Low	Single system	None	None	Complete	The fabric-interconnect component in Cisco Unified Computing System (UCS) allows local users to cause a denial of service via crafted command parameters that trigger hardware-component write operations, aka Bug ID CSCtq86549.
2	CVE-2013-5544	399		DoS	2013-10-22	2013-10-22	5.4	None	Remote	High	Not required	None	None	Complete	The VPN authentication functionality in Cisco Adaptive Security Appliance (ASA) Software allows remote attackers to cause a denial of service (device reload) by sending many username-from-cert IKE requests, aka Bug ID CSCua91108.
3	CVE-2013-5542	399		DoS	2013-10-21	2013-10-21	8.5	None	Remote	Low	Not required	None	Partial	Complete	Cisco Adaptive Security Appliance (ASA) Software 8.4 before 8.4(7.2), 8.7 before 8.7(1.8), 9.0 before 9.0(3.6), and 9.1 before 9.1(2.8) allows remote attackers to cause a denial of service (firewall-session disruption or device reload) via crafted ICMP packets, aka Bug ID CSCui77398.
4	CVE-2013-5541	79		XSS	2013-10-16	2013-10-16	3.5	None	Remote	Medium	Single system	None	Partial	None	Cross-site scripting (XSS) vulnerability in the file-upload interface in Cisco Identity Services Engine (ISE) allows remote authenticated users to inject arbitrary web script or HTML via a crafted filename, aka Bug ID CSCui67495.
5	CVE-2013-5540	399		DoS	2013-10-16	2013-10-16	6.8	None	Remote	Low	Single system	None	None	Complete	The file-upload feature in Cisco Identity Services Engine (ISE) allows remote authenticated users to cause a denial of service (disk consumption and administration-interface outage) by uploading many files, aka Bug ID CSCui67519.
6	CVE-2013-5539	20			2013-10-16	2013-10-16	6.0	None	Remote	Medium	Single system	Partial	Partial	Partial	The upload-dialog implementation in Cisco Identity Services Engine (ISE) allows remote authenticated users to upload files with an arbitrary file type, and consequently conduct attacks against unspecified other systems, via a crafted file, aka Bug ID CSCui67511.
7	CVE-2013-5538	264			2013-10-16	2013-10-16	5.0	None	Remote	Low	Not required	Partial	None	None	The Sponsor Portal in Cisco Identity Services Engine (ISE) uses weak permissions for uploaded files, which allows remote attackers to read arbitrary files via a direct request, aka Bug ID CSCui67506.
8	CVE-2013-5537	20		DoS	2013-10-24	2013-10-24	7.8	None	Remote	Low	Not required	None	None	Complete	The web framework on Cisco Web Security Appliance (WSA), Email Security Appliance (ESA), and Content Security Management Appliance (SMA) devices does not properly manage the state of HTTP and HTTPS sessions, which allows remote attackers to cause a denial of service (management GUI outage) via multiple TCP connections, aka Bug IDs CSCuj59411, CSCuf89818, and CSCuh05635.
9	CVE-2013-5536	20		DoS	2013-10-24	2013-10-24	5.0	None	Remote	Low	Not required	None	None	Partial	Cisco Secure Access Control System (ACS) does not properly implement an incoming-packet firewall rule, which allows remote attackers to cause a denial of service (process crash) via a flood of crafted packets, aka Bug ID CSCui51521.
10	CVE-2013-5535	255			2013-10-16	2013-10-17	6.4	None	Remote	Low	Not required	Partial	Partial	None	The analytics page on Cisco Video Surveillance 4000 IP cameras has hardcoded credentials, which allows remote attackers to watch the video feed by leveraging knowledge of the password, aka Bug IDs CSCuj70402 and CSCuj70419.
11	CVE-2013-5534	22		Exec Code Dir. Trav.	2013-10-19	2013-10-21	4.0	None	Remote	Low	Single system	None	Partial	None	Directory traversal vulnerability in the attachment service in the Voice Message Web Service (aka VMWS or Cisco Unity Web Service) in Cisco Unity Connection allows remote authenticated users to create files, and consequently execute arbitrary JSP code, via a crafted pathname for a file that is not a valid audio file, aka Bug ID CSCuj22948.
