#	CVE ID	CWE ID	# of Exploits	Vulnerability Type(s)	Publish Date	Update Date	Score	Gained Access Level	Access	Complexity	Authentication	Conf.	Integ.	Avail.
1	CVE-2013-5192	20		DoS	2013-10-23	2013-10-24	4.9	None	Local	Low	Not required	None	None	Complete	The USB hub controller in Apple Mac OS X before 10.9 allows local users to cause a denial of service (system crash) via a request with a crafted (1) port or (2) port number.
2	CVE-2013-5191	264		+Info	2013-10-23	2013-10-24	2.1	None	Local	Low	Not required	Partial	None	None	The syslog implementation in Apple Mac OS X before 10.9 allows local users to obtain sensitive information by leveraging access to the Guest account and reading console-log messages from previous Guest sessions.
3	CVE-2013-5190	264		DoS	2013-10-23	2013-10-24	4.3	None	Remote	Medium	Not required	None	None	Partial	Smart Card Services in Apple Mac OS X before 10.9 does not properly implement certificate-revocation checks, which allows remote attackers to cause a denial of service (Smart Card usage outage) by interfering with the revocation-check procedure.
4	CVE-2013-5189	264		Bypass	2013-10-23	2013-10-24	5.8	None	Remote	Medium	Not required	Partial	Partial	None	Apple Mac OS X before 10.9 does not preserve a certain administrative system-preferences setting across software updates, which allows context-dependent attackers to bypass intended access restrictions in opportunistic circumstances by leveraging an unintended security configuration after the completion of an update.
5	CVE-2013-5188	264			2013-10-23	2013-10-24	4.0	None	Local	High	Not required	Complete	None	None	The Screen Lock implementation in Apple Mac OS X before 10.9, when hibernation and autologin are enabled, does not require a password for a transition out of hibernation, which allows physically proximate attackers to obtain access by visiting an unattended workstation in the hibernating state.
6	CVE-2013-5187	264		+Info	2013-10-23	2013-10-24	1.9	None	Local	Medium	Not required	Partial	None	None	The Screen Lock implementation in Apple Mac OS X before 10.9 does not immediately accept Keychain Status menu Lock Screen commands, and instead incorrectly relies on a certain timeout setting, which allows physically proximate attackers to obtain sensitive information by reading a screen that should have transitioned into the locked state.
7	CVE-2013-5186	264		+Info	2013-10-23	2013-10-24	2.1	None	Local	Low	Not required	Partial	None	None	Power Management in Apple Mac OS X before 10.9 does not properly handle the interaction between locking and power assertions, which allows physically proximate attackers to obtain sensitive information by reading a screen that should have transitioned into the locked state.
8	CVE-2013-5185	310		+Info	2013-10-23	2013-10-24	4.3	None	Remote	Medium	Not required	Partial	None	None	The ldapsearch command-line program in OpenLDAP in Apple Mac OS X before 10.9 does not properly process the minssf configuration setting, which allows remote attackers to obtain sensitive information by leveraging unintended weak encryption and sniffing the network.
9	CVE-2013-5184	399		DoS	2013-10-23	2013-10-24	5.7	None	Local Network	Medium	Not required	None	None	Complete	The kernel in Apple Mac OS X before 10.9 does not properly check for errors during the processing of multicast Wi-Fi packets, which allows remote attackers to cause a denial of service (system crash) by leveraging presence in an 802.11 network's coverage area.
10	CVE-2013-5183	200		+Info	2013-10-23	2013-10-24	2.6	None	Remote	High	Not required	Partial	None	None	Mail in Apple Mac OS X before 10.9, when Kerberos authentication is enabled and TLS is disabled, sends invalid cleartext data, which allows remote attackers to obtain sensitive information by sniffing the network.
11	CVE-2013-5182	310			2013-10-23	2013-10-24	5.0	None	Remote	Low	Not required	None	Partial	None	Mail in Apple Mac OS X before 10.9 allows remote attackers to spoof the existence of a cryptographic signature for an e-mail message by using the multipart/signed content type within an unsigned message.
