#	CVE ID	CWE ID	# of Exploits	Vulnerability Type(s)	Publish Date	Update Date	Score	Gained Access Level	Access	Complexity	Authentication	Conf.	Integ.	Avail.
1	CVE-2013-5029	20		Bypass	2013-08-19	2013-10-07	4.3	None	Remote	Medium	Not required	None	Partial	None	phpMyAdmin 3.5.x and 4.0.x before 4.0.5 allows remote attackers to bypass the clickjacking protection mechanism via certain vectors related to Header.class.php.
2	CVE-2013-5018	119		DoS Overflow	2013-08-28	2013-08-29	4.3	None	Remote	Medium	Not required	None	None	Partial	The is_asn1 function in strongSwan 4.1.11 through 5.0.4 does not properly validate the return value of the asn1_length function, which allows remote attackers to cause a denial of service (segmentation fault) via a (1) XAuth username, (2) EAP identity, or (3) PEM encoded file that starts with a 0x04, 0x30, or 0x31 character followed by an ASN.1 length value that triggers an integer overflow.
3	CVE-2013-4854			DoS	2013-07-29	2013-10-08	7.8	None	Remote	Low	Not required	None	None	Complete	The RFC 5011 implementation in rdata.c in ISC BIND 9.7.x and 9.8.x before 9.8.5-P2, 9.8.6b1, 9.9.x before 9.9.3-P2, and 9.9.4b1, and DNSco BIND 9.9.3-S1 before 9.9.3-S1-P1 and 9.9.4-S1b1, allows remote attackers to cause a denial of service (assertion failure and named daemon exit) via a query with a malformed RDATA section that is not properly handled during construction of a log message, as exploited in the wild in July 2013.
4	CVE-2013-4852	189		DoS Exec Code Overflow	2013-08-19	2013-09-11	6.8	None	Remote	Medium	Not required	Partial	Partial	Partial	Integer overflow in PuTTY 0.62 and earlier, WinSCP before 5.1.6, and other products that use PuTTY allows remote SSH servers to cause a denial of service (crash) and possibly execute arbitrary code in certain applications that use PuTTY via a negative size value in an RSA key signature during the SSH handshake, which triggers a heap-based buffer overflow.
5	CVE-2013-4288	362		+Priv Bypass	2013-10-03	2013-10-23	7.2	None	Local	Low	Not required	Complete	Complete	Complete	Race condition in PolicyKit (aka polkit) allows local users to bypass intended PolicyKit restrictions and gain privileges by starting a setuid or pkexec process before the authorization check is performed, related to (1) the polkit_unix_process_new API function, (2) the dbus API, or (3) the --process (unix-process) option for authorization to pkcheck.
6	CVE-2013-4242	200		+Info	2013-08-19	2013-10-23	1.9	None	Local	Medium	Not required	Partial	None	None	GnuPG before 1.4.14, and Libgcrypt before 1.5.3 as used in GnuPG 2.0.x and possibly other products, allows local users to obtain private RSA keys via a cache side-channel attack involving the L3 cache, aka Flush+Reload.
7	CVE-2013-4238	20			2013-08-17	2013-10-23	4.3	None	Remote	Medium	Not required	None	Partial	None	The ssl.match_hostname function in the SSL module in Python 2.6 through 3.4 does not properly handle a '\0' character in a domain name in the Subject Alternative Name field of an X.509 certificate, which allows man-in-the-middle attackers to spoof arbitrary SSL servers via a crafted certificate issued by a legitimate Certification Authority, a related issue to CVE-2009-2408.
8	CVE-2013-4132	310		DoS	2013-09-16	2013-09-17	5.0	None	Remote	Low	Not required	None	None	Partial	KDE-Workspace 4.10.5 and earlier does not properly handle the return value of the glibc 2.17 crypt and pw_encrypt functions, which allows remote attackers to cause a denial of service (NULL pointer dereference and crash) via (1) an invalid salt or a (2) DES or (3) MD5 encrypted password, when FIPS-140 is enable, to KDM or an (4) invalid password to KCheckPass.
9	CVE-2013-4124	189		DoS Overflow	2013-08-05	2013-10-23	4.0	None	Remote	Low	Single system	None	None	Partial	Integer overflow in the read_nttrans_ea_list function in nttrans.c in smbd in Samba 3.x before 3.5.22, 3.6.x before 3.6.17, and 4.x before 4.0.8 allows remote attackers to cause a denial of service (memory consumption) via a malformed packet.
10	CVE-2013-4123	20		DoS	2013-09-16	2013-09-17	5.0	None	Remote	Low	Not required	None	None	Partial	client_side_request.cc in Squid 3.2.x before 3.2.13 and 3.3.x before 3.3.8 allows remote attackers to cause a denial of service via a crafted port number in a HTTP Host header.
